Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,Projection
WR,Justin Jefferson (28792603),Justin Jefferson,28792603,WR/FLEX,8800,TB@MIN 09/10/2023 01:00PM ET,MIN,24.6
RB,Christian McCaffrey (28792269),Christian McCaffrey,28792269,RB/FLEX,8700,SF@PIT 09/10/2023 01:00PM ET,SF,18.4
RB,Austin Ekeler (28792271),Austin Ekeler,28792271,RB/FLEX,8400,MIA@LAC 09/10/2023 04:25PM ET,LAC,19.5
WR,Cooper Kupp (28792605),Cooper Kupp,28792605,WR/FLEX,8400,LAR@SEA 09/10/2023 04:25PM ET,LAR,0
RB,Nick Chubb (28792273),Nick Chubb,28792273,RB/FLEX,8200,CIN@CLE 09/10/2023 01:00PM ET,CLE,17.4
WR,Tyreek Hill (28792607),Tyreek Hill,28792607,WR/FLEX,8200,MIA@LAC 09/10/2023 04:25PM ET,MIA,19
WR,Ja'Marr Chase (28792609),Ja'Marr Chase,28792609,WR/FLEX,8100,CIN@CLE 09/10/2023 01:00PM ET,CIN,18.7
RB,Bijan Robinson (28792275),Bijan Robinson,28792275,RB/FLEX,8000,CAR@ATL 09/10/2023 01:00PM ET,ATL,16.7
QB,Lamar Jackson (28792178),Lamar Jackson,28792178,QB,8000,HOU@BAL 09/10/2023 01:00PM ET,BAL,22.3
RB,Jonathan Taylor (28792277),Jonathan Taylor,28792277,RB/FLEX,7900,JAX@IND 09/10/2023 01:00PM ET,IND,0
WR,Davante Adams (28792611),Davante Adams,28792611,WR/FLEX,7900,LV@DEN 09/10/2023 04:25PM ET,LV,16
RB,Derrick Henry (28792279),Derrick Henry,28792279,RB/FLEX,7800,TEN@NO 09/10/2023 01:00PM ET,TEN,17.8
QB,Jalen Hurts (28792179),Jalen Hurts,28792179,QB,7800,PHI@NE 09/10/2023 04:25PM ET,PHI,23.5
QB,Justin Fields (28792180),Justin Fields,28792180,QB,7700,GB@CHI 09/10/2023 04:25PM ET,CHI,20.7
RB,Josh Jacobs (28792281),Josh Jacobs,28792281,RB/FLEX,7700,LV@DEN 09/10/2023 04:25PM ET,LV,17
WR,A.J. Brown (28792613),A.J. Brown,28792613,WR/FLEX,7600,PHI@NE 09/10/2023 04:25PM ET,PHI,16.4
WR,Keenan Allen (28792615),Keenan Allen,28792615,WR/FLEX,7300,MIA@LAC 09/10/2023 04:25PM ET,LAC,15.5
WR,DeVonta Smith (28792617),DeVonta Smith,28792617,WR/FLEX,7200,PHI@NE 09/10/2023 04:25PM ET,PHI,14
QB,Joe Burrow (28792181),Joe Burrow,28792181,QB,7100,CIN@CLE 09/10/2023 01:00PM ET,CIN,19.4
WR,Jaylen Waddle (28792619),Jaylen Waddle,28792619,WR/FLEX,7100,MIA@LAC 09/10/2023 04:25PM ET,MIA,14.7
RB,Rhamondre Stevenson (28792283),Rhamondre Stevenson,28792283,RB/FLEX,7000,PHI@NE 09/10/2023 04:25PM ET,NE,15.3
WR,DK Metcalf (28792621),DK Metcalf,28792621,WR/FLEX,7000,LAR@SEA 09/10/2023 04:25PM ET,SEA,15.4
RB,Travis Etienne Jr. (28792285),Travis Etienne Jr.,28792285,RB/FLEX,6900,JAX@IND 09/10/2023 01:00PM ET,JAX,14.4
WR,DeAndre Hopkins (28792623),DeAndre Hopkins,28792623,WR/FLEX,6900,TEN@NO 09/10/2023 01:00PM ET,TEN,13.4
QB,Justin Herbert (28792182),Justin Herbert,28792182,QB,6900,MIA@LAC 09/10/2023 04:25PM ET,LAC,21
RB,Joe Mixon (28792287),Joe Mixon,28792287,RB/FLEX,6800,CIN@CLE 09/10/2023 01:00PM ET,CIN,14.8
